Designator,Mid X,Mid Y,Rotation,Layer
CONDENSATEUR1,126.0,-73.95,0.0,top
CONDENSATEUR2,126.0,-77.5,0.0,top
D1,114.075,-59.895,0.0,top
D2,101.345,-69.635,0.0,top
D3,101.345,-76.255,0.0,top
D4,101.345,-82.875,0.0,top
D5,101.345,-89.495,0.0,top
D6,101.345,-96.115,0.0,top
D7,109.465,-69.635,0.0,top
D8,109.465,-76.255,0.0,top
D9,109.465,-82.875,0.0,top
J1,122.05,-68.95,0.0,top
U1,118.35,-78.1,270.0,top
U2,95.57,-74.11,0.0,top
